match_id,canonical_match_key,Date,y_blue_win,delta__TOP__CSM,unc__TOP__CSM,z__TOP__CSM,delta__TOP__DMG%,unc__TOP__DMG%,z__TOP__DMG%,delta__TOP__GPM,unc__TOP__GPM,z__TOP__GPM,delta__TOP__DPM,unc__TOP__DPM,z__TOP__DPM,delta__JUNGLE__CSM,unc__JUNGLE__CSM,z__JUNGLE__CSM,delta__JUNGLE__KP%,unc__JUNGLE__KP%,z__JUNGLE__KP%,delta__JUNGLE__GOLD%,unc__JUNGLE__GOLD%,z__JUNGLE__GOLD%,delta__JUNGLE__Kills,unc__JUNGLE__Kills,z__JUNGLE__Kills,delta__MID__KP%,unc__MID__KP%,z__MID__KP%,delta__MID__DMG%,unc__MID__DMG%,z__MID__DMG%,delta__MID__Assists,unc__MID__Assists,z__MID__Assists,delta__MID__GD@15,unc__MID__GD@15,z__MID__GD@15,delta__ADCARRY__CSM,unc__ADCARRY__CSM,z__ADCARRY__CSM,delta__ADCARRY__GOLD%,unc__ADCARRY__GOLD%,z__ADCARRY__GOLD%,delta__ADCARRY__DMG%,unc__ADCARRY__DMG%,z__ADCARRY__DMG%,delta__ADCARRY__DPM,unc__ADCARRY__DPM,z__ADCARRY__DPM,delta__SUPPORT__VSPM,unc__SUPPORT__VSPM,z__SUPPORT__VSPM,delta__SUPPORT__VS%,unc__SUPPORT__VS%,z__SUPPORT__VS%,delta__SUPPORT__WPM,unc__SUPPORT__WPM,z__SUPPORT__WPM,delta__SUPPORT__GOLD%,unc__SUPPORT__GOLD%,z__SUPPORT__GOLD%,blue_team_raw,red_team_raw,y_blue_win_from_conditions,actual_delta_GD15_sum,actual_delta_KP15_mean,actual_delta_Tower15,actual_delta_FirstTower,actual_delta_FirstDragon,actual_delta_NumberDragon,actual_delta_NumberVB,actual_delta_Herald,actual_delta_TeamJGShare,actual_delta_MiniTF_count,actual_delta_MiniTF_WR,actual_delta_TeamFight_WR,y_blue_win_ts_source,blue_rwts_ADCARRY_mu,blue_rwts_ADCARRY_sigma,blue_rwts_ADCARRY_conservative,blue_rwts_ADCARRY_games,blue_rwts_ADCARRY_weight,blue_rwts_JUNGLE_mu,blue_rwts_JUNGLE_sigma,blue_rwts_JUNGLE_conservative,blue_rwts_JUNGLE_games,blue_rwts_JUNGLE_weight,blue_rwts_MID_mu,blue_rwts_MID_sigma,blue_rwts_MID_conservative,blue_rwts_MID_games,blue_rwts_MID_weight,blue_rwts_SUPPORT_mu,blue_rwts_SUPPORT_sigma,blue_rwts_SUPPORT_conservative,blue_rwts_SUPPORT_games,blue_rwts_SUPPORT_weight,blue_rwts_TOP_mu,blue_rwts_TOP_sigma,blue_rwts_TOP_conservative,blue_rwts_TOP_games,blue_rwts_TOP_weight,blue_rwts_mu,blue_rwts_sigma,blue_rwts_conservative,blue_rwts_games,red_rwts_ADCARRY_mu,red_rwts_ADCARRY_sigma,red_rwts_ADCARRY_conservative,red_rwts_ADCARRY_games,red_rwts_ADCARRY_weight,red_rwts_JUNGLE_mu,red_rwts_JUNGLE_sigma,red_rwts_JUNGLE_conservative,red_rwts_JUNGLE_games,red_rwts_JUNGLE_weight,red_rwts_MID_mu,red_rwts_MID_sigma,red_rwts_MID_conservative,red_rwts_MID_games,red_rwts_MID_weight,red_rwts_SUPPORT_mu,red_rwts_SUPPORT_sigma,red_rwts_SUPPORT_conservative,red_rwts_SUPPORT_games,red_rwts_SUPPORT_weight,red_rwts_TOP_mu,red_rwts_TOP_sigma,red_rwts_TOP_conservative,red_rwts_TOP_games,red_rwts_TOP_weight,red_rwts_mu,red_rwts_sigma,red_rwts_conservative,red_rwts_games,delta_rwts_mu,delta_rwts_sigma,delta_rwts_conservative,delta_rwts_games,delta_rwts_mu_TOP,delta_rwts_sigma_TOP,delta_rwts_conservative_TOP,delta_rwts_games_TOP,delta_rwts_mu_JUNGLE,delta_rwts_sigma_JUNGLE,delta_rwts_conservative_JUNGLE,delta_rwts_games_JUNGLE,delta_rwts_mu_MID,delta_rwts_sigma_MID,delta_rwts_conservative_MID,delta_rwts_games_MID,delta_rwts_mu_ADCARRY,delta_rwts_sigma_ADCARRY,delta_rwts_conservative_ADCARRY,delta_rwts_games_ADCARRY,delta_rwts_mu_SUPPORT,delta_rwts_sigma_SUPPORT,delta_rwts_conservative_SUPPORT,delta_rwts_games_SUPPORT,rwts_implied_p_blue
2024-06-01__IG__UP__G1,2024-06-01__IG__UP__G1,2024-06-01,0.0,-0.15442912702508238,1.2372145438177267,-0.1248199053081358,-0.04526708476618424,6.761859462395603,-0.006694471886535639,-0.3092786235419567,63.362072928598394,-0.00488113163547136,-4.187809734067514,202.97771873758262,-0.020631869051843103,0.37232522524104716,0.9779640325261914,0.38071425138717907,0.048191856829419066,21.859378466990375,0.0022046305981463514,-0.0001449317268260586,2.098121376743199,-6.907687007801146e-05,-0.009229036182507144,3.1500792553480665,-0.0029297781117920713,0.22284117319884444,25.108855577780485,0.00887500283051689,0.03569362100492768,7.901928205562246,0.004517076789273509,0.009367060043959263,4.691186306020372,0.001996735460112235,15.692279112144377,1221.6993159813917,0.012844632794685758,-0.0043281966273962524,1.2854063782516787,-0.0033671789197936325,-0.15057108023745158,2.3401797705708023,-0.06434164494084156,-2.9847662786761227,7.463055899534399,-0.39993883456286317,-49.11829209544874,284.82291920124334,-0.17245203462117414,-0.09072340077096186,0.825430022335082,-0.10991033571080501,-0.9645901715918157,8.003458579078341,-0.12052165217568271,-0.0017247295408424623,0.48434402378846536,-0.003560952329708929,-0.16874850250839124,1.3460363928046728,-0.12536687569784238,UP,IG,0.0,-2724.0,0.13160000000000005,1.0,-1.0,-1.0,-4.0,2.0,-1.0,-5.400000000000006,0.0,-1.0,-0.6666666666666667,0.0,25.0,8.333333333333334,0.0,0.0,1.1,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,0.9,25.0,8.333333333333334,0.0,0.0,1.0,25.0,8.333333333333334,0.0,0.0,25.0,8.333333333333334,0.0,0.0,1.1,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,0.9,25.0,8.333333333333334,0.0,0.0,1.0,25.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2024-06-01__IG__UP__G2,2024-06-01__IG__UP__G2,2024-06-01,1.0,0.9841672752201598,1.2372145438177267,0.7954695365233406,2.826110609471737,6.761859462395603,0.41794867332569857,41.83653163706077,63.362072928598394,0.6602771822810855,124.46827166738848,202.97771873758262,0.6132114984260629,-0.5490120769931783,0.9779640325261914,-0.561382113606884,-7.749674592163657,21.859378466990375,-0.35452399753004704,-0.15485044734544573,2.098121376743199,-0.07380429714772482,-0.005235569283410957,3.1500792553480665,-0.0016620431414476628,-18.285121872192157,25.108855577780485,-0.7282339526513191,0.444923279002456,7.901928205562246,0.05630565238287254,-4.031776417367749,4.691186306020372,-0.8594362480887564,591.0801779726394,1221.6993159813917,0.48381804733516304,0.8556714326291015,1.2854063782516787,0.6656811273270626,1.2344438126544617,2.3401797705708023,0.5274993402981274,-3.2384379695851386,7.463055899534399,-0.4339291543907667,-49.23764943220681,284.82291920124334,-0.17287109266844694,0.25040132392358494,0.825430022335082,0.30335826634576746,2.9620881979345413,8.003458579078341,0.370100975542835,-0.2693461279931042,0.48434402378846536,-0.5561038407834236,0.31944388298707516,1.3460363928046728,0.23732170049263301,IG,UP,1.0,6504.0,-0.0361999999999999,2.0,1.0,-1.0,0.0,6.0,1.0,-3.4000000000000057,0.0,,-1.0,1.0,25.6875,8.25,0.9375,1.0,1.1,25.71875,8.25,0.96875,1.0,1.15,25.71875,8.25,0.96875,1.0,1.15,25.5625,8.25,0.8125,1.0,0.9,25.625,8.25,0.875,1.0,1.0,25.66804245283019,8.25,0.9180424528301888,1.0,24.3125,8.25,-0.4375,1.0,1.1,24.28125,8.25,-0.46875,1.0,1.15,24.28125,8.25,-0.46875,1.0,1.15,24.4375,8.25,-0.3125,1.0,0.9,24.375,8.25,-0.375,1.0,1.0,24.33195754716981,8.25,-0.4180424528301887,1.0,1.3360849056603783,0.0,1.3360849056603774,0.0,1.25,0.0,1.25,0.0,1.4375,0.0,1.4375,0.0,1.4375,0.0,1.4375,0.0,1.375,0.0,1.375,0.0,1.125,0.0,1.125,0.0,0.5333525221050094
2024-06-01__IG__UP__G3,2024-06-01__IG__UP__G3,2024-06-01,1.0,-0.4235776891558487,1.2372145438177267,-0.34236369828396895,-3.541155937080905,6.761859462395603,-0.5236955061072553,-26.47828013001714,63.362072928598394,-0.4178884699994992,-84.44857767435974,202.97771873758262,-0.41604850908532276,0.23704849398185956,0.9779640325261914,0.2423895396030032,1.229089391353412,21.859378466990375,0.05622709433309611,0.04820206484274436,2.098121376743199,0.022973905324610185,0.08582021255936922,3.1500792553480665,0.02724381780866296,5.306751193869033,25.108855577780485,0.21134977522493487,0.8182370734635427,7.901928205562246,0.10354902608942351,0.5553901786771069,4.691186306020372,0.11839010946426173,203.5951479289974,1221.6993159813917,0.16664914606979225,0.02288961974480408,1.2854063782516787,0.017807288282363016,-0.7674907860750366,2.3401797705708023,-0.3279621795575369,-1.5447896145347464,7.463055899534399,-0.2069915364883687,-13.558371715309022,284.82291920124334,-0.047602811268591984,-0.16466464570819772,0.825430022335082,-0.19948928650921535,-1.0673314931397186,8.003458579078341,-0.13335876599287205,0.14030402405431586,0.48434402378846536,0.28967784773936844,-1.1144635819823048,1.3460363928046728,-0.827958857562011,UP,IG,1.0,3192.0,-0.30000000000000004,1.0,1.0,1.0,-3.0,6.0,1.0,-1.2000000000000028,0.0,-1.0,0.6000000000000001,1.0,23.677276120715444,8.164748416926336,-0.8169691300635655,2.0,1.1,23.617152308020692,8.164748416926336,-0.877092942758317,2.0,1.15,23.617152308020692,8.164748416926336,-0.877092942758317,2.0,1.15,23.917771371494453,8.164748416926336,-0.5764738792845563,2.0,0.9,23.79752374610495,8.164748416926336,-0.6967215046740591,2.0,1.0,23.71471170220463,8.164748416926336,-0.7795335485743793,2.0,26.322723879284556,8.164748416926336,1.8284786285055468,2.0,1.1,26.382847691979308,8.164748416926336,1.8886024412002982,2.0,1.15,26.382847691979308,8.164748416926336,1.8886024412002982,2.0,1.15,26.082228628505547,8.164748416926336,1.5879833777265375,2.0,0.9,26.20247625389505,8.164748416926336,1.7082310031160404,2.0,1.0,26.28528829779537,8.164748416926336,1.7910430470163607,2.0,-2.5705765955907367,0.0,-2.5705765955907403,0.0,-2.4049525077900995,0.0,-2.4049525077900995,0.0,-2.765695383958615,0.0,-2.765695383958615,0.0,-2.765695383958615,0.0,-2.765695383958615,0.0,-2.6454477585691123,0.0,-2.6454477585691123,0.0,-2.164457257011094,0.0,-2.164457257011094,0.0,0.43608713771088753
2024-06-01__NIP__WBG__G1,2024-06-01__NIP__WBG__G1,2024-06-01,1.0,-1.314056457736121,1.2372145438177267,-1.0621079441673382,2.979220153609713,6.761859462395603,0.44059178242111047,-33.54435261495604,63.362072928598394,-0.5294074283735817,179.83730511347414,202.97771873758262,0.8859952971487448,0.5350596446879745,0.9779640325261914,0.5471153128101692,-3.401491462599779,21.859378466990375,-0.15560786927809805,1.2938068831817127,2.098121376743199,0.6166498663390733,0.9476601144914145,3.1500792553480665,0.3008368161041355,-0.3219837327245614,25.108855577780485,-0.012823512362147689,-0.0387608189817783,7.901928205562246,-0.00490523490826698,-0.013735900439363569,4.691186306020372,-0.0029280221707915577,-1.3497489088180146,1221.6993159813917,-0.001104812690043088,0.0077490652580785024,1.2854063782516787,0.006028489791787441,0.07766642788272549,2.3401797705708023,0.0331882172776685,-0.6952178425220978,7.463055899534399,-0.09315456814559067,-18.489009372113856,284.82291920124334,-0.0649140503125603,-0.15396373825983112,0.825430022335082,-0.1865252626734083,-1.4215891027896248,8.003458579078341,-0.17762182575467342,-0.1583756958646474,0.48434402378846536,-0.3269894147478988,-0.39820351449957414,1.3460363928046728,-0.29583391711715884,WBG,NIP,1.0,-1420.0,,1.0,1.0,-1.0,-4.0,2.0,-1.0,-10.799999999999997,0.0,-1.0,0.0,1.0,25.0,8.333333333333334,0.0,0.0,1.1,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,0.9,25.0,8.333333333333334,0.0,0.0,1.0,25.0,8.333333333333334,0.0,0.0,25.0,8.333333333333334,0.0,0.0,1.1,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,0.9,25.0,8.333333333333334,0.0,0.0,1.0,25.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2024-06-01__NIP__WBG__G2,2024-06-01__NIP__WBG__G2,2024-06-01,1.0,0.2114120769723744,1.2372145438177267,0.17087732047078194,0.1649759985525261,6.761859462395603,0.024398018780481923,46.07229627637457,63.362072928598394,0.7271273400598066,-50.183929494139875,202.97771873758262,-0.24723861101119662,-0.2731369400505237,0.9779640325261914,-0.2792911105880554,2.1192582366838053,21.859378466990375,0.09694960645539254,0.07876884823985719,2.098121376743199,0.03754254237644888,-0.07374509952724262,3.1500792553480665,-0.023410546255779183,10.662683095625113,25.108855577780485,0.42465825007184166,3.42004071880093,7.901928205562246,0.4328108528729325,1.3008636583670246,4.691186306020372,0.277299449693168,-135.02910170991896,1221.6993159813917,-0.11052564230252053,0.23000450640944692,1.2854063782516787,0.17893510672257304,-1.3059978276616775,2.3401797705708023,-0.5580756170999246,-5.998934223414931,7.463055899534399,-0.8038172968759209,22.230983516952847,284.82291920124334,0.07805194715806373,0.6348240095006572,0.825430022335082,0.7690818400607091,1.4945480247753977,8.003458579078341,0.1867377488457943,0.03417985819491731,0.48434402378846536,0.07056923580543516,0.8715393332058472,1.3460363928046728,0.6474852317362916,NIP,WBG,1.0,164.0,0.4,0.0,-1.0,1.0,4.0,-4.0,1.0,0.0,0.0,,1.0,1.0,24.3125,8.25,-0.4375,1.0,1.1,24.28125,8.25,-0.46875,1.0,1.15,24.28125,8.25,-0.46875,1.0,1.15,24.4375,8.25,-0.3125,1.0,0.9,24.375,8.25,-0.375,1.0,1.0,24.33195754716981,8.25,-0.4180424528301887,1.0,25.6875,8.25,0.9375,1.0,1.1,25.71875,8.25,0.96875,1.0,1.15,25.71875,8.25,0.96875,1.0,1.15,25.5625,8.25,0.8125,1.0,0.9,25.625,8.25,0.875,1.0,1.0,25.66804245283019,8.25,0.9180424528301888,1.0,-1.3360849056603783,0.0,-1.3360849056603774,0.0,-1.25,0.0,-1.25,0.0,-1.4375,0.0,-1.4375,0.0,-1.4375,0.0,-1.4375,0.0,-1.375,0.0,-1.375,0.0,-1.125,0.0,-1.125,0.0,0.4666474778949906
2024-06-01__NIP__WBG__G3,2024-06-01__NIP__WBG__G3,2024-06-01,0.0,0.2991240256026435,1.2372145438177267,0.24177195889377875,2.9054963082956924,6.761859462395603,0.4296888887982655,-21.62024203398147,63.362072928598394,-0.3412173985710275,13.203453910457881,202.97771873758262,0.06504878430759697,0.6681904247960313,0.9779640325261914,0.6832457220582027,-2.399484387900557,21.859378466990375,-0.1097690989592817,1.5689449792150896,2.098121376743199,0.7477852562873273,1.2700797198560514,3.1500792553480665,0.403189638644846,1.1680584715273028,25.108855577780485,0.04651977950126768,0.5932885561788304,7.901928205562246,0.07508148209695534,1.8708834859872852,4.691186306020372,0.3988080978106144,-602.2887771486231,1221.6993159813917,-0.49299264457049446,-0.9108762656725737,1.2854063782516787,-0.7086284714745329,0.3299623176268227,2.3401797705708023,0.14099864496636316,-3.4173147927243086,7.463055899534399,-0.4578974592753683,-152.34904068334254,284.82291920124334,-0.5348903823319395,-0.8258392732071629,0.825430022335082,-1.0004945911421235,-5.765427585871713,8.003458579078341,-0.7203669274401016,-0.2277887511534471,0.48434402378846536,-0.47030265609362887,0.226961224511518,1.3460363928046728,0.16861435330456157,WBG,NIP,0.0,-586.0,0.2,0.0,-1.0,-1.0,-3.0,6.0,1.0,0.20000000000000284,0.0,,0.0,0.0,24.961473879284554,8.170251583073663,0.45071913006356823,2.0,1.1,24.95972269197931,8.170251583073663,0.44896794275832264,2.0,1.15,24.95972269197931,8.170251583073663,0.44896794275832264,2.0,1.15,24.968478628505547,8.170251583073663,0.45772387928456126,2.0,0.9,24.964976253895053,8.170251583073663,0.4542215046740665,2.0,1.0,24.962564241191597,8.170251583073663,0.45180949197061115,2.0,25.038526120715446,8.170251583073663,0.5277713714944596,2.0,1.1,25.04027730802069,8.170251583073663,0.5295225587997052,2.0,1.15,25.04027730802069,8.170251583073663,0.5295225587997052,2.0,1.15,25.031521371494453,8.170251583073663,0.5207666222734666,2.0,0.9,25.035023746104947,8.170251583073663,0.5242689968839613,2.0,1.0,25.037435758808403,8.170251583073663,0.5266810095874168,2.0,-0.07487151761680622,0.0,-0.07487151761680566,0.0,-0.07004749220989481,0.0,-0.07004749220989481,0.0,-0.08055461604138259,0.0,-0.08055461604138259,0.0,-0.08055461604138259,0.0,-0.08055461604138259,0.0,-0.0770522414308914,0.0,-0.0770522414308914,0.0,-0.06304274298890533,0.0,-0.06304274298890533,0.0,0.49812822080350105
2024-06-02__RA__TES__G1,2024-06-02__RA__TES__G1,2024-06-02,0.0,-0.2656334334634032,1.2372145438177267,-0.21470263188233735,-3.62906225399896,6.761859462395603,-0.5366958212434407,-9.071267267478902,63.362072928598394,-0.14316556742920306,-19.72138695563433,202.97771873758262,-0.09716035326995937,-0.20610630424805,0.9779640325261914,-0.21075017755558673,-0.979153006544891,21.859378466990375,-0.04479326634241836,0.8466873193616138,2.098121376743199,0.4035452501468862,0.7779554114140901,3.1500792553480665,0.24696367976444786,-8.439550306002104,25.108855577780485,-0.3361184640112403,-6.143633817196413,7.901928205562246,-0.7774853023071693,-1.2002724274637346,4.691186306020372,-0.25585685438809513,230.46672152289347,1221.6993159813917,0.18864438926947832,5.709367099150783,1.2854063782516787,4.441679109479102,5.7657401212457735,2.3401797705708023,2.4638011702999463,6.948774455675437,7.463055899534399,0.9310895721710166,175.26681309201354,284.82291920124334,0.6153536132842741,3.044130365779709,0.825430022335082,3.6879282258717323,29.743807994470924,8.003458579078341,3.7163688653121367,1.9403576239771243,0.48434402378846536,4.006147536729031,-3.8697345074466227,1.3460363928046728,-2.8749086229940795,RA,TES,0.0,-9042.0,-0.10000000000000009,-2.0,-1.0,-1.0,-4.0,-3.0,-1.0,-18.599999999999994,0.0,,-0.6000000000000001,0.0,25.0,8.333333333333334,0.0,0.0,1.1,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,0.9,25.0,8.333333333333334,0.0,0.0,1.0,25.0,8.333333333333334,0.0,0.0,25.0,8.333333333333334,0.0,0.0,1.1,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,0.9,25.0,8.333333333333334,0.0,0.0,1.0,25.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2024-06-02__RA__TES__G2,2024-06-02__RA__TES__G2,2024-06-02,1.0,1.0270216111626551,1.2372145438177267,0.8301072648938216,4.0597730417552675,6.761859462395603,0.6003929043393723,135.56643087191662,63.362072928598394,2.1395516665802963,133.5246905425068,202.97771873758262,0.6578292963145543,1.7523425249596638,0.9779640325261914,1.7918253380012679,-20.38588102341079,21.859378466990375,-0.9325919362988002,1.4045243737228787,2.098121376743199,0.6694196626905268,2.2790638106598293,3.1500792553480665,0.7234938877479504,0.41210886353989906,25.108855577780485,0.016412888506623015,4.7430858614971925,7.901928205562246,0.6002440338441006,1.9283242695653682,4.691186306020372,0.41105249988434256,989.9852815413274,1221.6993159813917,0.8103346443602917,1.4332022250542078,1.2854063782516787,1.114978993666233,-0.7475834584450958,2.3401797705708023,-0.31945543175399643,3.185920888125736,7.463055899534399,0.42689221468008604,422.9698375633577,284.82291920124334,1.4850273891739676,0.24841514271866405,0.825430022335082,0.3009520311169265,-2.8533643288009714,8.003458579078341,-0.35651636652977986,-0.06202798215985572,0.48434402378846536,-0.12806569514162297,0.9377239881390445,1.3460363928046728,0.6966552290090208,TES,RA,1.0,15622.0,-0.07499999999999996,3.0,1.0,-1.0,1.0,6.0,1.0,24.799999999999997,0.0,0.0,,1.0,25.6875,8.25,0.9375,1.0,1.1,25.71875,8.25,0.96875,1.0,1.15,25.71875,8.25,0.96875,1.0,1.15,25.5625,8.25,0.8125,1.0,0.9,25.625,8.25,0.875,1.0,1.0,25.66804245283019,8.25,0.9180424528301888,1.0,24.3125,8.25,-0.4375,1.0,1.1,24.28125,8.25,-0.46875,1.0,1.15,24.28125,8.25,-0.46875,1.0,1.15,24.4375,8.25,-0.3125,1.0,0.9,24.375,8.25,-0.375,1.0,1.0,24.33195754716981,8.25,-0.4180424528301887,1.0,1.3360849056603783,0.0,1.3360849056603774,0.0,1.25,0.0,1.25,0.0,1.4375,0.0,1.4375,0.0,1.4375,0.0,1.4375,0.0,1.375,0.0,1.375,0.0,1.125,0.0,1.125,0.0,0.5333525221050094
2024-06-02__RNG__WE__G1,2024-06-02__RNG__WE__G1,2024-06-02,1.0,-0.27621290261533193,1.2372145438177267,-0.22325366343443317,4.28029051854749,6.761859462395603,0.6330048575168411,-15.23639022694391,63.362072928598394,-0.2404654595762369,163.39458846731685,202.97771873758262,0.8049878020038832,-0.20249164183880808,0.9779640325261914,-0.2070540715711991,0.0891436595820636,21.859378466990375,0.004078050784409436,0.014100957322700225,2.098121376743199,0.006720750647818918,0.012589104325651634,3.1500792553480665,0.003996439234930098,-3.577163776505216,25.108855577780485,-0.14246621567270992,-2.5492742425747252,7.901928205562246,-0.3226141586766262,-1.350589537238811,4.691186306020372,-0.2878992990762808,368.9129137155029,1221.6993159813917,0.30196702952001564,0.5991141985889072,1.2854063782516787,0.46608896815559014,-0.47793315731350816,2.3401797705708023,-0.2042291618339098,-4.57058519247504,7.463055899534399,-0.6124280243341287,7.426498449365226,284.82291920124334,0.02607408997884717,0.48690133195100627,0.825430022335082,0.5898752515668713,4.326368737010945,8.003458579078341,0.5405623273615833,0.19442275886187943,0.48434402378846536,0.4014137635628778,0.6190577083249593,1.3460363928046728,0.4599112265633712,WE,RNG,1.0,5904.0,0.0,2.0,1.0,-1.0,-2.0,6.0,1.0,6.599999999999994,0.0,,1.0,1.0,25.0,8.333333333333334,0.0,0.0,1.1,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,0.9,25.0,8.333333333333334,0.0,0.0,1.0,25.0,8.333333333333334,0.0,0.0,25.0,8.333333333333334,0.0,0.0,1.1,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,1.15,25.0,8.333333333333334,0.0,0.0,0.9,25.0,8.333333333333334,0.0,0.0,1.0,25.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2024-06-02__RNG__WE__G2,2024-06-02__RNG__WE__G2,2024-06-02,0.0,-0.562416174332701,1.2372145438177267,-0.45458220852708525,0.9617161703234736,6.761859462395603,0.14222656259646552,-22.710279018053484,63.362072928598394,-0.35842070200614484,-83.60333202247676,202.97771873758262,-0.411884280356299,0.7320924910632716,0.9779640325261914,0.7485875943562073,7.698036523648227,21.859378466990375,0.35216171324867446,0.7819164414524842,2.098121376743199,0.3726743731060198,-0.5662848254730899,3.1500792553480665,-0.17976838034893766,-15.718574175034654,25.108855577780485,-0.6260171237325259,-8.120828008095277,7.901928205562246,-1.027701944276968,-6.1013979319058835,4.691186306020372,-1.3006084673011749,312.7732986201256,1221.6993159813917,0.2560149574225305,0.10174835221308243,1.2854063782516787,0.07915650239340732,0.9083346018694947,2.3401797705708023,0.3881471949912396,6.109334286639992,7.463055899534399,0.8186101712585279,180.19788910609435,284.82291920124334,0.6326663913802107,0.13811570332390533,0.825430022335082,0.16732555427004236,1.3691905909542825,8.003458579078341,0.17107484300082582,0.30393610462609044,0.48434402378846536,0.6275198251212604,0.1516551979594496,1.3460363928046728,0.11266789375253018,RNG,WE,0.0,7414.0,,1.0,1.0,-1.0,-2.0,0.0,-1.0,7.400000000000006,1.0,,-0.6666666666666667,0.0,24.3125,8.25,-0.4375,1.0,1.1,24.28125,8.25,-0.46875,1.0,1.15,24.28125,8.25,-0.46875,1.0,1.15,24.4375,8.25,-0.3125,1.0,0.9,24.375,8.25,-0.375,1.0,1.0,24.33195754716981,8.25,-0.4180424528301887,1.0,25.6875,8.25,0.9375,1.0,1.1,25.71875,8.25,0.96875,1.0,1.15,25.71875,8.25,0.96875,1.0,1.15,25.5625,8.25,0.8125,1.0,0.9,25.625,8.25,0.875,1.0,1.0,25.66804245283019,8.25,0.9180424528301888,1.0,-1.3360849056603783,0.0,-1.3360849056603774,0.0,-1.25,0.0,-1.25,0.0,-1.4375,0.0,-1.4375,0.0,-1.4375,0.0,-1.4375,0.0,-1.375,0.0,-1.375,0.0,-1.125,0.0,-1.125,0.0,0.4666474778949906
